Card ID | Epic ID | Epic | Type | Title | Component | Priority | Status | Owner | Sprint
EP0 | EP0 | Foundations (границы, контракты, ADR) | Epic | Foundations (границы, контракты, ADR) | Product | P0 | Backlog |  | S0
EP1 | EP1 | Auth (Keycloak) + RBAC/ACL | Epic | Auth (Keycloak) + RBAC/ACL | Product | P0 | Backlog |  | S1
EP2 | EP2 | Проекты + версионирование + аудит | Epic | Проекты + версионирование + аудит | Product | P0 | Backlog |  | S1
EP3 | EP3 | Materials & Ingestion (включая Blast) | Epic | Materials & Ingestion (включая Blast) | Product | P0 | Backlog |  | S2
EP4 | EP4 | Flowsheet Designer (MVP) | Epic | Flowsheet Designer (MVP) | Product | P0 | Backlog |  | S3
EP5 | EP5 | Solver / Simulation Core | Epic | Solver / Simulation Core | Product | P0 | Backlog |  | S4
EP6 | EP6 | Calibration & Validation (MVP) | Epic | Calibration & Validation (MVP) | Product | P0 | Backlog |  | S5
EP7 | EP7 | What-if & Compare | Epic | What-if & Compare | Product | P0 | Backlog |  | S5
EP8 | EP8 | Visualization & Reporting | Epic | Visualization & Reporting | Product | P0 | Backlog |  | S4
EP9 | EP9 | Platform (DB/Migrations/Observability/CI) | Epic | Platform (DB/Migrations/Observability/CI) | Product | P0 | Backlog |  | S0
F0.1 | EP0 | Foundations (границы, контракты, ADR) | Feature | MVP Scope & Release Plan | Product | P0 | Backlog |  | S0
F0.2 | EP0 | Foundations (границы, контракты, ADR) | Feature | Data Contracts: Material/PSD/Blast/KPI | Backend+Core | P0 | Backlog |  | S0
F0.3 | EP0 | Foundations (границы, контракты, ADR) | Feature | ADR: архитектурные решения | Product+Engineering | P1 | Backlog |  | S0
F1.1 | EP1 | Auth (Keycloak) + RBAC/ACL | Feature | Keycloak docker-compose + realm import | DevOps+Backend | P0 | Backlog |  | S1
F1.2 | EP1 | Auth (Keycloak) + RBAC/ACL | Feature | UI: OIDC login/logout (Auth Code + PKCE) | Frontend | P0 | Backlog |  | S1
F1.3 | EP1 | Auth (Keycloak) + RBAC/ACL | Feature | Backend: JWT validation (JWKS) + RBAC | Backend | P0 | Backlog |  | S1
F1.4 | EP1 | Auth (Keycloak) + RBAC/ACL | Feature | ACL на проекты (membership) | Backend+DB+Frontend | P0 | Backlog |  | S1
F2.1 | EP2 | Проекты + версионирование + аудит | Feature | Project CRUD (API + UI) | Backend+Frontend | P0 | Backlog |  | S1
F2.2 | EP2 | Проекты + версионирование + аудит | Feature | Versioning model (immutable artifacts) | Backend+DB | P0 | Backlog |  | S2
F2.3 | EP2 | Проекты + версионирование + аудит | Feature | Change Log / Audit minimal | Backend+DB | P1 | Backlog |  | S2
F3.1 | EP3 | Materials & Ingestion (включая Blast) | Feature | Импорт Material из файла (CSV/XLSX/JSON) | Backend+Frontend | P0 | Backlog |  | S2
F3.2 | EP3 | Materials & Ingestion (включая Blast) | Feature | Валидация + паспорт материала | Backend | P0 | Backlog |  | S2
F3.3 | EP3 | Materials & Ingestion (включая Blast) | Feature | PSD core: bins + rebin + Pxx (включая P240) | Core | P0 | Backlog |  | S2
F3.4 | EP3 | Materials & Ingestion (включая Blast) | Feature | Блендинг материалов | Backend+Core | P1 | Backlog |  | S3
F3.5 | EP3 | Materials & Ingestion (включая Blast) | Feature | Импорт Blast → Material (adapter) | Backend | P1 | Backlog |  | S3
F4.1 | EP4 | Flowsheet Designer (MVP) | Feature | Flowsheet editor: граф узлов и потоков | Frontend+Backend | P0 | Backlog |  | S3
F4.2 | EP4 | Flowsheet Designer (MVP) | Feature | Node Library MVP (Crusher/Mill/Cyclone/Screen/Splitter/Mixer) | Core+Frontend | P0 | Backlog |  | S3
F4.3 | EP4 | Flowsheet Designer (MVP) | Feature | Flowsheet validation rules | Backend+Core | P0 | Backlog |  | S3
F4.4 | EP4 | Flowsheet Designer (MVP) | Feature | Назначение MaterialVersion на feed | Frontend+Backend | P0 | Backlog |  | S3
F5.1 | EP5 | Solver / Simulation Core | Feature | Execution engine + convergence | Core | P0 | Backlog |  | S4
